101
--------------------------------
492747.970347,492747.970347,710899.453647,717482.961321,722287.74929,710319.972306,606034.756965,949622.149957,855832.206524,589327.900473,710899.453647,589109.101251,710899.453647,535625.606024,592777.6154,588573.51531,531421.505934,515594.806048,535406.806802,592558.816178,519798.906137,527878.106773,777751.055786,598587.856663,606034.756965,598587.856663,585704.14973,606034.756965,602179.252847,834593.356514,814665.556835,805078.556835,825427.356514,723363.507677,747026.757677,731520.008738,759003.559235,477254.854044,739405.154562,718173.005556,602179.252847,834593.356514,755192.755081,744304.757677,721509.757677,801243.760492,792615.459578,602179.252847,814665.556835,834593.356514,718173.009092,492747.970347,489835.94578,813706.848606,491720.76153,492747.970347,814665.556835,834593.356514,492747.970347,492747.970347,814665.556835,834593.356514,492747.970347,504715.55247,512970.751948,855272.705723,802202.473292,822677.572248,492747.970347,834593.356514,814665.556835,806037.265064,498889.448517,502042.448517,503934.249719,507927.30119,542453.601547,526626.901661,514168.601372,602179.252847,814665.556835,810830.774206,739949.556639,718543.75697,806995.964149,827260.563507,829093.753017,584964.949777,600418.308113,538186.103582,533982.003492,518155.303606,530438.604331,522359.403696,814665.556835,796450.246778,565841.052794,616343.451143,496997.653328,484638.052206,867022.206524

2946.15001535,2946.15001535,2520.05001497,2519.60001445,2506.85001421,2523.15002823,2555.35001945,2417.35001326,2434.2500062,2603.35001183,2520.05001497,2606.8500104,2520.05001497,2636.75001812,2590.55000973,2606.9500103,2653.15001869,2765.65002728,2644.2500186,2598.0500102,2749.2500267,2667.15001965,2456.30001879,2589.4500103,2555.35001945,2589.4500103,2614.85001135,2555.35001945,2583.45000315,2437.35001135,2447.55001211,2450.05001211,2442.65001059,2505.35001516,2480.25001287,2489.95001316,2467.05001116,3291.75001335,2489.1500206,2515.65002346,2583.45000315,2437.35001135,2471.25001574,2483.25001287,2508.85001516,2451.8500104,2456.30000663,2583.45000315,2447.55001211,2437.35001135,2515.65001202,2946.15001535,2950.95001268,2447.80001426,2946.55001879,2946.15001535,2447.55001211,2437.35001135,2946.15001535,2946.15001535,2447.55001211,2437.35001135,2946.15001535,2810.00002098,2797.30002022,2435.85000849,2451.40000439,2444.59999943,2946.15001535,2437.35001135,2447.55001211,2449.80000997,2886.35001111,2882.50001073,2881.15000987,2799.50002718,2628.75002337,2741.25003195,2791.40002203,2583.45000315,2447.55001211,2448.55000758,2488.0500164,2514.45001888,2449.5500102,2441.35000563,2440.05001307,2615.54999638,2584.55001545,2633.75002098,2650.15002155,2762.65003014,2666.55002022,2746.25002956,2447.55001211,2454.10001683,2623.55001974,2527.75001621,2888.90000463,3171.75002241,2432.0500226
--------------------------------
10 11 7 3 9 1 4 6 0 5 2 8 	4 2 2 4 	2 3 
10 11 7 3 9 1 4 6 0 5 2 8 	4 2 2 4 	2 3 
10 5 4 9 2 3 11 7 0 1 8 6 	5 2 2 3 	1.99999999999 3 
10 5 4 9 2 3 11 7 0 1 8 6 	5 2 2 3 	2.45000052452 3 
2 5 4 9 0 3 11 6 8 10 7 1 	5 2 2 3 	1.99999999999 3 
10 5 4 9 2 3 7 6 0 1 11 8 	5 2 2 3 	2.45000052452 3 
1 11 10 8 6 7 3 0 9 4 5 2 	3 2 2 5 	2 3 
1 7 10 3 4 5 2 8 11 6 9 0 	3 2 2 5 	2 3 
1 7 10 0 4 5 2 8 6 11 9 3 	3 2 2 5 	2.25 3 
10 4 5 9 2 7 11 6 3 1 8 0 	5 2 2 3 	2.9500002861 3 
10 5 4 9 2 3 11 7 0 1 8 6 	5 2 2 3 	2 2.99999999999 
10 4 9 5 2 7 11 6 3 1 8 0 	5 2 2 3 	2.9500002861 3 
10 5 4 9 2 3 11 7 0 1 8 6 	5 2 2 3 	1.99999999999 3 
10 4 5 9 2 11 7 6 3 1 8 0 	5 2 2 3 	3.45000052452 3 
10 4 5 9 2 7 11 6 3 1 8 0 	5 2 2 3 	3.45000052452 3 
10 5 4 9 2 7 11 6 3 1 8 0 	5 2 2 3 	3.45000052452 3 
10 5 4 9 2 11 7 6 3 1 8 0 	5 2 2 3 	3.45000052452 3 
10 5 4 2 9 11 7 6 3 1 8 0 	5 2 2 3 	3.45000052452 3 
10 4 9 5 2 11 7 6 3 1 8 0 	5 2 2 3 	3.45000052452 3 
10 4 9 5 2 7 11 6 3 1 8 0 	5 2 2 3 	3.45000052452 3 
10 4 5 2 9 11 7 6 3 1 8 0 	5 2 2 3 	3.45000052452 3 
10 9 4 5 2 11 7 6 3 1 8 0 	5 2 2 3 	3.45000052452 3 
1 7 10 8 11 4 3 0 6 9 5 2 	3 2 2 5 	4.25 3 
1 11 10 8 6 7 3 0 4 9 5 2 	3 2 2 5 	2 3 
1 11 10 8 6 7 3 0 9 4 5 2 	3 2 2 5 	2 3 
1 11 10 8 6 7 3 0 4 9 5 2 	3 2 2 5 	2 3 
2 9 5 0 8 6 4 10 3 7 11 1 	4 2 2 4 	1.99999999999 3 
1 11 10 8 6 7 3 0 9 4 5 2 	3 2 2 5 	1.99999999999 3 
1 11 7 10 8 6 4 3 0 9 5 2 	4 2 2 4 	2 3 
1 7 5 10 8 11 4 3 0 6 9 2 	4 2 2 4 	2 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	2 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	2.5 3 
1 7 5 10 8 11 4 3 0 6 9 2 	4 2 2 4 	2.5 3 
1 4 5 2 8 11 7 10 0 6 9 3 	4 2 2 4 	4.25 3 
1 4 5 10 8 11 7 2 0 6 9 3 	4 2 2 4 	4.25 3 
1 4 5 2 8 11 7 10 0 6 9 3 	4 2 2 4 	3.14999985695 3 
1 4 5 10 8 11 7 2 0 6 9 3 	4 2 2 4 	3.14999985695 3 
3 7 11 10 6 1 9 0 4 8 2 5 	4 2 2 4 	4.9500002861 3 
1 4 5 10 8 11 7 2 0 6 9 3 	4 2 2 4 	4.9500002861 3 
1 4 5 2 8 11 7 10 0 6 9 3 	4 2 2 4 	4.9500002861 3 
1 11 7 10 8 6 4 3 0 9 5 2 	4 2 2 4 	2 3 
1 7 5 10 8 11 4 3 0 6 9 2 	4 2 2 4 	2 3 
1 4 5 10 8 11 7 2 0 6 9 3 	4 2 2 4 	3.50000023842 3 
1 4 5 10 8 11 7 2 0 6 9 3 	4 2 2 4 	4.5 3 
1 4 5 2 8 11 7 10 0 6 9 3 	4 2 2 4 	4.5 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	2.69999980927 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	3.14999985695 3 
1 11 7 10 8 6 4 3 0 9 5 2 	4 2 2 4 	2 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	2 3 
1 7 5 10 8 11 4 3 0 6 9 2 	4 2 2 4 	2 3 
1 4 5 2 8 11 7 10 0 6 9 3 	4 2 2 4 	4.94999980927 3 
0 5 2 8 9 1 4 6 10 11 7 3 	4 2 2 4 	2 3 
0 5 2 8 9 1 4 6 10 11 7 3 	4 2 2 4 	2.40000033379 3 
0 6 9 3 8 11 4 2 1 7 5 10 	4 2 2 4 	2.05000042915 3 
0 5 2 8 9 1 4 6 10 11 7 3 	4 2 2 4 	2.05000042915 3 
0 5 2 8 9 1 4 6 10 11 7 3 	4 2 2 4 	2 3 
0 6 9 3 8 11 4 2 1 7 5 10 	4 2 2 4 	2 3 
0 6 9 2 8 11 4 3 1 7 5 10 	4 2 2 4 	2 3 
0 5 2 8 9 1 4 6 10 11 7 3 	4 2 2 4 	2 3 
0 5 2 8 9 1 4 6 10 11 7 3 	4 2 2 4 	1.99999999999 3 
0 6 9 3 8 11 4 2 1 7 5 10 	4 2 2 4 	1.99999999999 3 
0 6 9 2 8 11 4 3 1 7 5 10 	4 2 2 4 	1.99999999999 3 
0 5 2 8 9 1 4 6 10 11 7 3 	4 2 2 4 	2 3 
10 5 2 9 11 7 4 3 1 8 6 0 	4 2 2 4 	4.25 3 
10 2 5 9 11 7 4 3 1 8 6 0 	4 2 2 4 	4.25 3 
1 7 10 0 4 5 2 8 6 11 9 3 	3 2 2 5 	2.14999985695 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	2.64999914169 3 
1 7 5 10 8 11 4 3 0 6 9 2 	4 2 2 4 	2.64999914169 3 
10 11 7 3 9 1 4 6 0 5 2 8 	4 2 2 4 	1.99999999999 3 
1 7 5 10 8 11 4 3 0 6 9 2 	4 2 2 4 	1.99999999999 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	1.99999999999 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	2.44999957085 3 
2 4 8 6 5 1 9 0 10 11 7 3 	4 2 2 4 	3.20000052452 3 
2 4 8 6 5 1 9 0 10 11 7 3 	4 2 2 4 	2.95000052452 3 
2 4 8 6 5 1 9 0 10 11 7 3 	4 2 2 4 	2.80000042915 3 
1 2 0 11 7 5 3 10 4 8 6 9 	3 2 2 5 	4.25 3 
1 8 0 11 7 6 3 10 4 5 9 2 	3 2 2 5 	4.25 3 
1 8 0 11 7 6 3 10 4 5 2 9 	3 2 2 5 	4.25 3 
1 3 0 11 7 6 8 10 9 4 5 2 	3 2 2 5 	4.25 3 
1 11 7 10 8 6 4 3 0 9 5 2 	4 2 2 4 	2 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	2 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	2.19999909401 3 
1 4 5 10 8 11 7 2 0 6 9 3 	4 2 2 4 	4.90000009537 3 
1 4 5 2 8 11 7 10 0 6 9 3 	4 2 2 4 	4.90000009537 3 
1 7 5 10 8 11 4 2 0 6 9 3 	4 2 2 4 	2.39999961853 3 
1 7 5 10 8 11 4 3 0 6 9 2 	4 2 2 4 	2.39999961853 3 
1 7 5 10 8 11 4 3 0 6 9 2 	4 2 2 4 	2.30000019073 3 
10 5 4 9 2 7 11 6 3 1 8 0 	5 2 2 3 	3.10000085831 3 
10 4 5 9 2 7 11 6 3 1 8 0 	5 2 2 3 	3.75000023842 3 
10 4 5 9 2 11 7 6 3 1 8 0 	5 2 2 3 	3.75000023842 3 
10 5 4 9 2 11 7 6 3 1 8 0 	5 2 2 3 	3.75000023842 3 
10 5 4 2 9 11 7 6 3 1 8 0 	5 2 2 3 	3.75000023842 3 
10 9 4 5 2 11 7 6 3 1 8 0 	5 2 2 3 	3.75000023842 3 
10 4 5 2 9 11 7 6 3 1 8 0 	5 2 2 3 	3.75000023842 3 
0 6 9 3 8 11 4 2 1 7 5 10 	4 2 2 4 	1.99999999999 3 
0 6 9 3 8 11 4 2 1 7 5 10 	4 2 2 4 	2.95000052452 3 
0 8 6 9 2 5 4 3 1 11 7 10 	4 2 2 4 	2 2.99999999999 
2 5 9 0 3 4 6 8 10 7 11 1 	4 2 2 4 	2 2.99999999999 
2 4 8 6 5 1 9 0 10 11 7 3 	4 2 2 4 	3.35000014305 3 
3 1 0 6 7 11 10 4 8 2 5 9 	3 2 2 5 	3.65000009537 3 
1 7 10 0 4 5 2 8 6 11 9 3 	3 2 2 5 	4.25 3 
