21
--------------------------------
332362.278487,332321.464542,332201.442672,332293.15237,332240.525924,332182.444995,348156.456103,476758.754541,459153.29834,414492.424215,319538.967101,319363.416986,319361.24832,319417.392746,319361.379791,319356.200064,333633.4882,373220.064238,333705.482309,334087.991017,364987.320105

1139.73610713,1140.4233886,1142.44448225,1140.90014796,1141.78634459,1142.76439132,1056.65548069,981.155545026,992.598963614,1007.4243073,1243.66829178,1246.62444656,1246.66096555,1245.71552833,1246.65875167,1246.74597504,1112.90828706,1038.71254272,1112.06535912,1107.66372131,1044.24047167
--------------------------------
2 7 5 0 1 6 4 3 	1 2 2 3 	3.53577272676 3.01582572574 
2 7 5 0 1 6 4 3 	1 2 2 3 	3.48290492166 3.06869353085 
2 7 5 0 1 6 4 3 	1 2 2 3 	3.32743617912 3.22416227339 
2 7 5 0 1 6 4 3 	1 2 2 3 	3.44623112436 3.10536732814 
2 7 5 0 1 6 4 3 	1 2 2 3 	3.37806215323 3.17353629927 
2 7 5 0 1 6 4 3 	1 2 2 3 	3.30282778938 3.24877066312 
3 1 5 0 7 6 4 2 	2 2 2 2 	3.59293598549 3.1199872088 
3 1 5 6 0 7 4 2 	2 2 2 2 	3.59293598549 3.1199872088 
2 7 5 1 0 6 4 3 	2 2 2 2 	3.59293598549 3.1199872088 
3 1 5 6 7 0 4 2 	2 2 2 2 	2.12112871905 3.14354025824 
2 7 5 3 0 6 4 1 	1 2 2 3 	3.59293598549 3.1199872088 
2 7 5 3 0 6 4 1 	1 2 2 3 	3.36553946383 3.34738373045 
2 7 5 3 0 6 4 1 	1 2 2 3 	3.36273031078 3.3501928835 
2 7 5 3 0 6 4 1 	1 2 2 3 	3.43545625104 3.27746694325 
2 7 5 3 0 6 4 1 	1 2 2 3 	3.36290060984 3.35002258444 
2 7 5 3 0 6 4 1 	1 2 2 3 	3.35619111919 3.35673207509 
1 3 7 0 5 6 2 4 	2 2 2 2 	3.07546186089 3.04014861881 
3 1 7 0 5 6 2 4 	2 2 2 2 	2.48663523363 3.06587908318 
1 3 7 0 5 6 2 4 	2 2 2 2 	3.05361667127 3.03372465711 
1 3 7 0 5 6 2 4 	2 2 2 2 	2.93916309329 3.00047638948 
3 1 7 0 5 6 2 4 	2 2 2 2 	2.93832529935 3.00131418342 
